keyword,count,pledgeCount,candidateCount,candidateRate,countPerCandidate,score,electedCount,electedPledgeCount,electedCandidateCount,nonElectedCount,nonElectedPledgeCount,nonElectedCandidateCount
공개,153,98,83,0.1299,0.2394,9.6154,40,24,22,113,74,61
조정,177,148,107,0.1674,0.277,9.6126,57,49,39,120,99,68
신속,169,122,99,0.1549,0.2645,9.6074,88,61,49,81,61,50
재임기간,27,25,5,0.0078,0.0423,9.5941,5,5,1,22,20,4
절차,204,176,144,0.2254,0.3192,9.5937,77,62,50,127,114,94
인력,209,175,152,0.2379,0.3271,9.5916,85,72,61,124,103,91
공동,196,165,133,0.2081,0.3067,9.5911,80,68,56,116,97,77
펀드,143,97,76,0.1189,0.2238,9.5899,44,36,32,99,61,44
비용,199,171,138,0.216,0.3114,9.5859,70,59,49,129,112,89
문제,187,153,122,0.1909,0.2926,9.5851,63,51,41,124,102,81
패키지,180,140,114,0.1784,0.2817,9.5804,54,45,42,126,95,72
구청,114,81,54,0.0845,0.1784,9.5799,33,26,19,81,55,35
유도,194,176,132,0.2066,0.3036,9.5794,70,63,47,124,113,85
골목상권,172,117,105,0.1643,0.2692,9.5789,84,53,50,88,64,55
투입,171,154,104,0.1628,0.2676,9.5779,54,49,35,117,105,69
신도시,118,68,57,0.0892,0.1847,9.5768,40,25,23,78,43,34
가족,159,98,92,0.144,0.2488,9.5724,55,33,32,104,65,60
스마트팜,144,85,78,0.1221,0.2254,9.5724,55,37,35,89,48,43
대한민국,189,152,127,0.1987,0.2958,9.5671,73,64,54,116,88,73
tf,149,108,83,0.1299,0.2332,9.5652,48,37,31,101,71,52
협약,168,126,102,0.1596,0.2629,9.5651,65,43,32,103,83,70
시범사업,174,132,109,0.1706,0.2723,9.5624,67,51,42,107,81,67
특구,153,98,87,0.1362,0.2394,9.5619,54,40,37,99,58,50
절감,194,163,135,0.2113,0.3036,9.5594,70,58,50,124,105,85
인허,177,130,113,0.1768,0.277,9.5582,58,49,41,119,81,72
도입,943,653,369,0.5775,1.4757,9.5434,351,253,144,592,400,225
세계,130,82,68,0.1064,0.2034,9.5414,55,32,26,75,50,42
최우선,131,110,69,0.108,0.205,9.5382,60,47,28,71,63,41
전담,191,158,134,0.2097,0.2989,9.5378,81,65,53,110,93,81
선순환,193,166,137,0.2144,0.302,9.5371,68,61,55,125,105,82
지방소멸대응기금,126,123,65,0.1017,0.1972,9.5368,51,49,27,75,74,38
최소화,193,179,138,0.216,0.302,9.5308,64,58,50,129,121,88
모두,179,144,119,0.1862,0.2801,9.5289,86,69,58,93,75,61
우주항공,57,24,20,0.0313,0.0892,9.5287,17,9,9,40,15,11
연간,166,135,104,0.1628,0.2598,9.523,57,43,35,109,92,69
웰니스,81,41,34,0.0532,0.1268,9.5225,41,22,20,40,19,14
구청장,95,68,43,0.0673,0.1487,9.5217,36,24,16,59,44,27
사업기간,64,62,24,0.0376,0.1002,9.5203,37,35,13,27,27,11
개최,168,122,107,0.1674,0.2629,9.5163,73,47,38,95,75,69
양성,190,157,136,0.2128,0.2973,9.5153,80,67,54,110,90,82
출산,143,83,81,0.1268,0.2238,9.5152,53,34,34,90,49,47
성과,167,133,106,0.1659,0.2613,9.5147,64,53,41,103,80,65
재원조달방법,33,33,8,0.0125,0.0516,9.5142,11,11,3,22,22,5
농가,146,96,84,0.1315,0.2285,9.513,67,45,41,79,51,43
정주,181,150,124,0.1941,0.2833,9.5106,72,60,51,109,90,73
특별법,114,75,57,0.0892,0.1784,9.5083,49,28,22,65,47,35
병원,166,119,106,0.1659,0.2598,9.5037,67,47,45,99,72,61
기준,158,123,97,0.1518,0.2473,9.5037,63,51,41,95,72,56
제고,186,168,132,0.2066,0.2911,9.5033,101,90,68,85,78,64
가동,155,131,94,0.1471,0.2426,9.5014,53,48,36,102,83,58
로봇,133,83,73,0.1142,0.2081,9.4989,68,39,35,65,44,38
사각지대,182,149,127,0.1987,0.2848,9.4987,57,49,43,125,100,84
현장,155,112,95,0.1487,0.2426,9.4901,58,41,36,97,71,59
복합개발,109,62,54,0.0845,0.1706,9.4901,46,28,25,63,34,29
아동,148,100,88,0.1377,0.2316,9.4866,55,40,39,93,60,49
국토부,161,134,102,0.1596,0.252,9.4863,49,43,36,112,91,66
동시,160,140,101,0.1581,0.2504,9.4849,55,47,31,105,93,70
수소,84,42,37,0.0579,0.1315,9.4778,46,17,16,38,25,21
사업명,21,11,3,0.0047,0.0329,9.4775,10,5,1,11,6,2
